Class,Threshold
modVsAll,0.5080689301647385
modVsAll,0.4795427067606061
modVsAll,0.454410338881887
modVsAll,0.42735075745821377
modVsAll,0.40991575405439723
modVsAll,0.40851087633578137
modVsAll,0.38172449833308264
modVsAll,0.3760659787112027
modVsAll,0.35117701700643766
modVsAll,0.34915315894260684
modVsAll,0.3233471163416497
modVsAll,0.3216650805806552
modVsAll,0.3131775335734385
modVsAll,0.28366507928319173
modVsAll,0.24645803837756683
modVsAll,0.24493672505304864
modVsAll,0.22417083452377248
modVsAll,0.2241594628935321
modVsAll,0.21674404635214192
modVsAll,0.21301738828952763
modVsAll,0.2103500570630362
modVsAll,0.2081001661478906
modVsAll,0.20174481159790617
modVsAll,0.2006115877715099
modVsAll,0.19600357716232403
modVsAll,0.19042319220261594
modVsAll,0.18959011846142515
modVsAll,0.18559391848287163
modVsAll,0.17813741235167627
modVsAll,0.17811691558857531
modVsAll,0.16794961552017276
modVsAll,0.16489244648917464
modVsAll,0.14200160484370933
modVsAll,0.13800692534347925
modVsAll,0.1269444336896015
modVsAll,0.12332428746862006
modVsAll,0.06929277374825484
modVsAll,0.0684708330489637
modVsAll,0.06683089973845534
modVsAll,0.06644506850088343
modVsAll,0.06327856426228132
modVsAll,0.06145738135330882
modVsAll,0.038856418726800034
modVsAll,0.03871282269022355
modVsAll,0.03525500359422034
modVsAll,0.03496380362765243
modVsAll,0.02258306389464935
modVsAll,0.02123975696854414
modVsAll,0.020735036000759197
modVsAll,0.02043658423085066
modVsAll,0.008524166523138685
modVsAll,0.008389239707430914
modVsAll,0.00020973232722516975
sevVsAll,1.9997870531090731
sevVsAll,0.999787053109073
sevVsAll,0.9926963155180327
sevVsAll,0.9915692981174791
sevVsAll,0.8796600210984293
sevVsAll,0.8599706498301063
sevVsAll,0.7908558113368087
sevVsAll,0.7747140164170588
sevVsAll,0.7434046635760626
sevVsAll,0.6418609117023405
sevVsAll,0.5972509194380239
sevVsAll,0.5921587736231405
sevVsAll,0.4688204627873926
sevVsAll,0.3925828898631014
sevVsAll,0.32878606440831354
sevVsAll,0.28034411611976806
sevVsAll,0.26120408484032603
sevVsAll,0.21863733593246504
sevVsAll,0.2130458492751752
sevVsAll,0.2063208282417515
sevVsAll,0.1940413765033957
sevVsAll,0.19134731074425063
sevVsAll,0.1872597400107207
sevVsAll,0.17944552396094124
sevVsAll,0.171197408978722
sevVsAll,0.15510248762307904
sevVsAll,0.1550867039862436
sevVsAll,0.14574107467779823
sevVsAll,0.14128235343643106
sevVsAll,0.10989509646514527
sevVsAll,0.1094540171177061
sevVsAll,0.054583043296448204
sevVsAll,0.04957044370019883
sevVsAll,0.022046701743417357
sevVsAll,0.021985804658337455
sevVsAll,0.021702398595721015
sevVsAll,0.02168659887556258
sevVsAll,0.016722831656818083
sevVsAll,0.016347709060350508
sevVsAll,0.01331372775072303
sevVsAll,0.013042301869793937
sevVsAll,0.00406895093041587
sevVsAll,0.003987494674388349
sevVsAll,0.00391100092485897
sevVsAll,0.0038087717476852525
sevVsAll,0.0037569085452188807
sevVsAll,0.0036916573303902465
sevVsAll,2.2819693228907808e-07
